source,company,client_name,org,entity_name,ville,location,town,pays,nation,country_code,headcount,staff,revenue,currency
ERP,Gringotts Bank 24 GmbH,,,,Paris,,,France,,,3515,,35700000,GBP
ERP,Soylent Foods 25,,,,Madrid,,,Spain,,,2480,,11200000,GBP
ERP,Globex Industries 26,,,,Amsterdam,,,Netherlands,,,2619,,3000000,GBP
CRM,,Globex Industries 26 GmbH,,,,Amsterdam,,,NL,,2617,,,
API,,,Globex Industries 26,,,Amsterdam,,,NL,,,,,
ERP,Initech Solutions 27 Ltd,,,,Milan,,,Italy,,,606,,34600000,USD
CRM,,Initech Solutions 27 Ltd,,,,Milan,,,IT,,607,,,
ERP,Aviato Holdings 28 GmbH,,,,Amsterdam,,,Netherlands,,,4831,,29000000,USD
ERP,Vehement Capital 29 Inc,,,,Amsterdam,,,Netherlands,,,2623,,12300000,USD
CRM,,Vehement Capital 29 SA,,,,Amsterdam,,,NL,,2622,,,
ERP,Acme Corporation 30,,,,Berlin,,,Germany,,,4662,,5200000,GBP
CRM,,Acme Corporation 30 Inc,,,,Berlin,,,DE,,4659,,,
ERP,Hooli Technologies 31 Inc,,,,Berlin,,,Germany,,,4500,,36100000,GBP
ERP,Acme Corporation 32,,,,Amsterdam,,,Netherlands,,,4593,,15400000,EUR
CRM,,Acme Corporation 32 GmbH,,,,Amsterdam,,,NL,,4591,,,
API,,,Acme Corporation 32,,,Amsterdam,,,NL,,,,,
ERP,Vehement Capital 33 SA,,,,Amsterdam,,,Netherlands,,,2212,,25900000,USD
ERP,Globex Industries 34 Inc,,,,London,,,United Kingdom,,,3519,,42500000,EUR
CRM,,Globex Industries 34 Inc,,,,London,,,UK,,3517,,,
ERP,Aviato Holdings 35,,,,Milan,,,Italy,,,129,,5800000,GBP
ERP,Globex Industries 36 Ltd,,,,Paris,,,France,,,4821,,28300000,USD
CRM,,Globex Industries 36,,,,Paris,,,FR,,4820,,,
API,,,Globex Industries 36,,,Paris,,,,,,,,
LEGACY,,,,GLOBEX INDUSTRIES 36,,,Paris,,,FR,,4821,,
ERP,Aviato Holdings 37 Ltd,,,,Milan,,,Italy,,,1316,,47400000,EUR
ERP,Hooli Technologies 38 Inc,,,,Berlin,,,Germany,,,253,,9200000,USD
ERP,Massive Dynamic 39,,,,Paris,,,France,,,1354,,40400000,USD
ERP,Tyrell Group 40 SA,,,,Madrid,,,Spain,,,1684,,41900000,USD
CRM,,Tyrell Group 40 Ltd,,,,Madrid,,,ES,,1682,,,
API,,,Tyrell Group 40,,,Madrid,,,,,,,,
ERP,Initech Solutions 41 GmbH,,,,Paris,,,France,,,2926,,32900000,USD
ERP,Wonka Industries 42 Inc,,,,London,,,United Kingdom,,,994,,45000000,EUR
CRM,,Wonka Industries 42,,,,London,,,UK,,991,,,
ERP,Wonka Industries 43 SA,,,,Berlin,,,Germany,,,4239,,6000000,GBP
CRM,,Wonka Industrise 43,,,,Berlin,,,DE,,4240,,,
ERP,Vehement Capital 44 Inc,,,,Paris,,,France,,,3583,,3600000,GBP
CRM,,Vehement Capital 44 Inc,,,,Paris,,,FR,,3584,,,
API,,,Vehement Capital 44,,,Paris,,,FR,,,,,
ERP,Wayne Enterprises 45 SA,,,,Milan,,,Italy,,,1092,,9900000,GBP
ERP,Hooli Technologies 46 SA,,,,Milan,,,Italy,,,4712,,15500000,GBP
ERP,Wayne Enterprises 47 GmbH,,,,Paris,,,France,,,1771,,22100000,GBP
ERP,Gringotts Bank 48 Ltd,,,,Berlin,,,Germany,,,3672,,34600000,GBP
CRM,,Gringotts Bank 48 Ltd,,,,Berlin,,,DE,,3674,,,
API,,,Gringotts Bank 48,,,Berlin,,,DE,,,,,
ERP,Wonka Industries 49 Inc,,,,London,,,United Kingdom,,,1974,,34500000,EUR
ERP,Soylent Foods 50 SA,,,,London,,,United Kingdom,,,428,,12600000,GBP
ERP,Initech Solutions 51 GmbH,,,,Berlin,,,Germany,,,3445,,45400000,EUR
ERP,Pied Piper 52 Ltd,,,,Berlin,,,Germany,,,3323,,12500000,GBP
ERP,Umbrella Logistics 53 GmbH,,,,Berlin,,,Germany,,,1842,,9100000,USD
CRM,,Umbrella Logistics 53,,,,Berlin,,,DE,,1842,,,
API,,,Umbrella Logistics 53,,,Berlin,,,DE,,,,,
ERP,Wonka Industries 54 GmbH,,,,Berlin,,,Germany,,,4185,,21900000,USD
ERP,Tyrell Group 55 Ltd,,,,Berlin,,,Germany,,,2173,,38500000,GBP
CRM,,Tyrell Group 55 SA,,,,Berlin,,,DE,,2175,,,
API,,,Tyrell Group 55,,,Berlin,,,DE,,,,,
ERP,Massive Dynamic 56 GmbH,,,,Paris,,,France,,,2801,,16400000,EUR
CRM,,Massive Dynamic 56 Ltd,,,,Paris,,,FR,,2803,,,
API,,,Massive Dynamic 56,,,Paris,,,FR,,,,,
ERP,Gringotts Bank 57 SA,,,,Berlin,,,Germany,,,560,,10600000,USD
ERP,Acme Corporation 58,,,,Milan,,,Italy,,,3166,,24500000,USD
CRM,,Acme Corporation 58 SA,,,,Milan,,,IT,,3167,,,
ERP,Massive Dynamic 59 SA,,,,Berlin,,,Germany,,,1847,,14000000,USD
CRM,,Massive Dynamic 59 SA,,,,Berlin,,,DE,,1849,,,
API,,,Massive Dynamic 59,,,Berlin,,,DE,,,,,
LEGACY,,,,MASSIVE DYNAMIC 59,,,Berlin,,,DE,,1847,,
ERP,Acme Corporation 60,,,,Berlin,,,Germany,,,4898,,28900000,EUR
ERP,Soylent Foods 61 Inc,,,,Berlin,,,Germany,,,1538,,2600000,USD
CRM,,Soylent Foods 61 Inc,,,,Berlin,,,DE,,1541,,,
ERP,Aviato Holdings 62,,,,Paris,,,France,,,720,,24100000,GBP
CRM,,Aviato Holdings 62 Inc,,,,Paris,,,FR,,718,,,
ERP,Globex Industries 63,,,,London,,,United Kingdom,,,2075,,10300000,GBP
CRM,,Globxe Industries 63 GmbH,,,,London,,,UK,,2073,,,
ERP,Cyberdyne Systems 64 Ltd,,,,Madrid,,,Spain,,,988,,39900000,USD
CRM,,Cyberdyne ySstems 64 GmbH,,,,Madrid,,,ES,,990,,,
ERP,Vehement Capital 65 Ltd,,,,London,,,United Kingdom,,,4900,,35400000,EUR
ERP,Wayne Enterprises 66,,,,Amsterdam,,,Netherlands,,,4968,,41300000,GBP
ERP,Cyberdyne Systems 67 Inc,,,,Milan,,,Italy,,,3559,,33900000,EUR
CRM,,Cyberdyne Systems 67 SA,,,,Milan,,,IT,,3562,,,
ERP,Cyberdyne Systems 68 Ltd,,,,Amsterdam,,,Netherlands,,,3816,,36300000,USD
CRM,,Cyberdyne Systems 68 Inc,,,,Amsterdam,,,NL,,3817,,,
ERP,Tyrell Group 69 GmbH,,,,Berlin,,,Germany,,,3618,,42300000,USD
CRM,,Tyrell Group 69,,,,Berlin,,,DE,,3617,,,
LEGACY,,,,TYRELL GROUP 69,,,Berlin,,,DE,,3618,,
ERP,Gringotts Bank 70,,,,Milan,,,Italy,,,3154,,17300000,USD
ERP,Hooli Technologies 71 Inc,,,,Berlin,,,Germany,,,1787,,18200000,USD
CRM,,Hooli Technologies 71 Inc,,,,Berlin,,,DE,,1788,,,
API,,,Hooli Technologies 71,,,Berlin,,,DE,,,,,
LEGACY,,,,HOOLI TECHNOLOGIES 71,,,Berlin,,,DE,,1787,,
ERP,Aviato Holdings 72 Ltd,,,,Berlin,,,Germany,,,4598,,38900000,GBP
CRM,,Aviato Holdings 72 SA,,,,Berlin,,,DE,,4601,,,
API,,,Aviato Holdings 72,,,Berlin,,,,,,,,
ERP,Massive Dynamic 73 SA,,,,Paris,,,France,,,4814,,18900000,GBP
CRM,,Massive Dynamic 73 GmbH,,,,Paris,,,FR,,4813,,,
API,,,Massive Dynamic 73,,,Paris,,,FR,,,,,
ERP,Massive Dynamic 74,,,,London,,,United Kingdom,,,1627,,16200000,GBP
CRM,,Massive Dynamic 74 Ltd,,,,London,,,UK,,1625,,,
API,,,Massive Dynamic 74,,,London,,,UK,,,,,
ERP,Wayne Enterprises 75 Ltd,,,,London,,,United Kingdom,,,1640,,15200000,USD
CRM,,WayneE nterprises 75 Inc,,,,London,,,UK,,1637,,,
ERP,Soylent Foods 76,,,,Amsterdam,,,Netherlands,,,4071,,5300000,GBP
CRM,,Soylent Foods 76 Inc,,,,Amsterdam,,,NL,,4069,,,
ERP,Tyrell Group 77 SA,,,,London,,,United Kingdom,,,585,,20600000,EUR
CRM,,Tyrell Group 77 Ltd,,,,London,,,UK,,583,,,
ERP,Initech Solutions 78 SA,,,,Madrid,,,Spain,,,1020,,28600000,GBP
CRM,,Initech Solutions 78 GmbH,,,,Madrid,,,ES,,1020,,,
ERP,Aviato Holdings 79,,,,Paris,,,France,,,4708,,31800000,GBP
ERP,Umbrella Logistics 80,,,,Madrid,,,Spain,,,1778,,13600000,EUR
CRM,,Umbrella Logistics 80 Ltd,,,,Madrid,,,ES,,1775,,,
ERP,Tyrell Group 81 Inc,,,,Paris,,,France,,,317,,11900000,GBP
CRM,,Tyrell Group 81,,,,Paris,,,FR,,319,,,
API,,,Tyrell Group 81,,,Paris,,,,,,,,
ERP,Vehement Capital 82 Ltd,,,,Berlin,,,Germany,,,990,,27900000,GBP
CRM,,Vehement Capital 82 Ltd,,,,Berlin,,,DE,,987,,,
API,,,Vehement Capital 82,,,Berlin,,,DE,,,,,
ERP,Wayne Enterprises 83 Inc,,,,Berlin,,,Germany,,,1068,,24000000,GBP
CRM,,Wayne Enterprises 83 GmbH,,,,Berlin,,,DE,,1068,,,
ERP,Aviato Holdings 84 Inc,,,,Amsterdam,,,Netherlands,,,2690,,31000000,EUR
CRM,,Aviato Holdings 84 GmbH,,,,Amsterdam,,,NL,,2691,,,
ERP,Stark Manufacturing 85 Ltd,,,,Milan,,,Italy,,,379,,39100000,USD
CRM,,Stark Manufacturing 85 Inc,,,,Milan,,,IT,,377,,,
ERP,Tyrell Group 86 SA,,,,London,,,United Kingdom,,,3900,,17900000,USD
CRM,,Tyrlel Group 86 Inc,,,,London,,,UK,,3900,,,
ERP,Pied Piper 87,,,,Milan,,,Italy,,,350,,23300000,USD
CRM,,Pied Piepr 87 GmbH,,,,Milan,,,IT,,353,,,
ERP,Gringotts Bank 88 GmbH,,,,Berlin,,,Germany,,,494,,9700000,USD
ERP,Tyrell Group 89,,,,Amsterdam,,,Netherlands,,,3671,,39000000,EUR
CRM,,Tyrel lGroup 89 SA,,,,Amsterdam,,,NL,,3673,,,
LEGACY,,,,TYRELL GROUP 89,,,Amsterdam,,,NL,,3671,,
ERP,Massive Dynamic 90 GmbH,,,,Amsterdam,,,Netherlands,,,1347,,16000000,EUR
CRM,,Massive Dynami c90,,,,Amsterdam,,,NL,,1347,,,
ERP,Soylent Foods 91 Inc,,,,Berlin,,,Germany,,,2440,,26100000,USD
ERP,Tyrell Group 92 Ltd,,,,Madrid,,,Spain,,,3791,,28300000,USD
CRM,,Tyrell Group 92 Ltd,,,,Madrid,,,ES,,3794,,,
API,,,Tyrell Group 92,,,Madrid,,,ES,,,,,
ERP,Wonka Industries 93,,,,Milan,,,Italy,,,2238,,42100000,USD
ERP,Tyrell Group 94 SA,,,,Madrid,,,Spain,,,3708,,27600000,USD
CRM,,Tyrell Group 94 SA,,,,Madrid,,,ES,,3708,,,
ERP,Massive Dynamic 95 SA,,,,Milan,,,Italy,,,3187,,12000000,EUR
CRM,,Massive Dynamic 95 SA,,,,Milan,,,IT,,3187,,,
ERP,Soylent Foods 96 GmbH,,,,Berlin,,,Germany,,,353,,6500000,GBP
CRM,,Soylent oFods 96,,,,Berlin,,,DE,,354,,,
LEGACY,,,,SOYLENT FOODS 96,,,Berlin,,,DE,,353,,
ERP,Soylent Foods 97 SA,,,,Berlin,,,Germany,,,1314,,3900000,USD
CRM,,Soylent Foods 97,,,,Berlin,,,DE,,1317,,,
API,,,Soylent Foods 97,,,Berlin,,,DE,,,,,
ERP,Wonka Industries 98 GmbH,,,,Amsterdam,,,Netherlands,,,4047,,44700000,EUR
ERP,Massive Dynamic 99,,,,Amsterdam,,,Netherlands,,,2404,,11700000,USD
ERP,Umbrella Logistics 100 Inc,,,,Berlin,,,Germany,,,1412,,35600000,EUR
CRM,,Umbrella Logistics 100 Inc,,,,Berlin,,,DE,,1411,,,
API,,,Umbrella Logistics 100,,,Berlin,,,,,,,,
ERP,Hooli Technologies 101 GmbH,,,,Madrid,,,Spain,,,1484,,4100000,USD
ERP,Massive Dynamic 102 Ltd,,,,Berlin,,,Germany,,,4827,,7400000,USD
ERP,Gringotts Bank 103 SA,,,,Paris,,,France,,,126,,46100000,USD
ERP,Hooli Technologies 104 Inc,,,,London,,,United Kingdom,,,3668,,48400000,GBP
CRM,,Hooli Technologies 104 Inc,,,,London,,,UK,,3668,,,
LEGACY,,,,HOOLI TECHNOLOGIES 104,,,London,,,UK,,3668,,
ERP,Pied Piper 105 SA,,,,Berlin,,,Germany,,,923,,12200000,GBP
CRM,,Pied Piper 105 Inc,,,,Berlin,,,DE,,920,,,
ERP,Stark Manufacturing 106,,,,London,,,United Kingdom,,,4686,,44300000,GBP
ERP,Wayne Enterprises 107 Ltd,,,,Madrid,,,Spain,,,2936,,11300000,GBP
CRM,,Wayne Enterprises 107 Ltd,,,,Madrid,,,ES,,2938,,,
API,,,Wayne Enterprises 107,,,Madrid,,,ES,,,,,
LEGACY,,,,WAYNE ENTERPRISES 107,,,Madrid,,,ES,,2936,,
ERP,Gringotts Bank 108 Ltd,,,,London,,,United Kingdom,,,4797,,18700000,EUR
ERP,Wonka Industries 109 Ltd,,,,Amsterdam,,,Netherlands,,,3453,,9000000,EUR
ERP,Cyberdyne Systems 110 Inc,,,,Milan,,,Italy,,,4160,,46800000,EUR
CRM,,Cyberdyne Systems 110 SA,,,,Milan,,,IT,,4163,,,
API,,,Cyberdyne Systems 110,,,Milan,,,IT,,,,,
ERP,Gringotts Bank 111 Ltd,,,,London,,,United Kingdom,,,1203,,38700000,GBP
ERP,Pied Piper 112 SA,,,,Milan,,,Italy,,,3046,,4700000,EUR
CRM,,Pied Ppier 112 Inc,,,,Milan,,,IT,,3047,,,
API,,,Pied Piper 112,,,Milan,,,IT,,,,,
ERP,Massive Dynamic 113 GmbH,,,,Berlin,,,Germany,,,255,,31800000,USD
ERP,Massive Dynamic 114 SA,,,,Amsterdam,,,Netherlands,,,567,,32600000,GBP
CRM,,Massive Dynamic 114 Ltd,,,,Amsterdam,,,NL,,564,,,
ERP,Tyrell Group 115 GmbH,,,,London,,,United Kingdom,,,846,,12100000,EUR
CRM,,Tyrell Group 115 GmbH,,,,London,,,UK,,846,,,
ERP,Aviato Holdings 116 SA,,,,Amsterdam,,,Netherlands,,,861,,42700000,GBP
CRM,,Aviato Holdings 116,,,,Amsterdam,,,NL,,863,,,
API,,,Aviato Holdings 116,,,Amsterdam,,,NL,,,,,
ERP,Cyberdyne Systems 117 Inc,,,,London,,,United Kingdom,,,3059,,27900000,EUR
CRM,,Cyberdyne Systems 117,,,,London,,,UK,,3062,,,
LEGACY,,,,CYBERDYNE SYSTEMS 117,,,London,,,UK,,3059,,
ERP,Vehement Capital 118,,,,Amsterdam,,,Netherlands,,,4941,,49800000,EUR
ERP,Massive Dynamic 119,,,,Madrid,,,Spain,,,4675,,10600000,GBP
CRM,,Massive Dynamic 119 Ltd,,,,Madrid,,,ES,,4674,,,
ERP,Acme Corporation 120 GmbH,,,,Paris,,,France,,,1235,,6700000,USD
ERP,Umbrella Logistics 121,,,,Amsterdam,,,Netherlands,,,261,,6800000,USD
ERP,Massive Dynamic 122 Ltd,,,,Milan,,,Italy,,,2702,,900000,USD
CRM,,Massive Dynamic 122 GmbH,,,,Milan,,,IT,,2699,,,
ERP,Cyberdyne Systems 123 SA,,,,Milan,,,Italy,,,4913,,5600000,GBP
CRM,,Cyberdyne Systems 123 GmbH,,,,Milan,,,IT,,4912,,,
ERP,Globex Industries 124,,,,Berlin,,,Germany,,,3340,,21900000,USD
ERP,Gringotts Bank 125 GmbH,,,,London,,,United Kingdom,,,711,,16500000,EUR
CRM,,Gringotts Bank 125 GmbH,,,,London,,,UK,,712,,,
ERP,Wayne Enterprises 126 SA,,,,Berlin,,,Germany,,,4191,,31000000,EUR
ERP,Umbrella Logistics 127 Ltd,,,,Amsterdam,,,Netherlands,,,4566,,37000000,USD
CRM,,Umbrella Logistics 127 Inc,,,,Amsterdam,,,NL,,4569,,,
ERP,Umbrella Logistics 128 Inc,,,,Paris,,,France,,,3546,,16100000,USD
ERP,Tyrell Group 129,,,,London,,,United Kingdom,,,797,,42600000,EUR
CRM,,Tyrell Group 129 Inc,,,,London,,,UK,,800,,,
API,,,Tyrell Group 129,,,London,,,,,,,,
ERP,Wonka Industries 130 Inc,,,,Amsterdam,,,Netherlands,,,1051,,21100000,GBP
ERP,Aviato Holdings 131 Inc,,,,Amsterdam,,,Netherlands,,,471,,49600000,GBP
CRM,,Aviato oHldings 131 Ltd,,,,Amsterdam,,,NL,,473,,,
ERP,Cyberdyne Systems 132 Inc,,,,Milan,,,Italy,,,3061,,5900000,GBP
CRM,,Cyberdyne Systems 132 GmbH,,,,Milan,,,IT,,3064,,,
ERP,Acme Corporation 133 Ltd,,,,Milan,,,Italy,,,2240,,1500000,USD
ERP,Wayne Enterprises 134 Ltd,,,,Paris,,,France,,,2925,,400000,EUR
CRM,,Wayne Enterprises 134 Ltd,,,,Paris,,,FR,,2927,,,
LEGACY,,,,WAYNE ENTERPRISES 134,,,Paris,,,FR,,2925,,
ERP,Vehement Capital 135 Inc,,,,Berlin,,,Germany,,,3489,,23300000,EUR
CRM,,Vehement Capital 135 GmbH,,,,Berlin,,,DE,,3490,,,
API,,,Vehement Capital 135,,,Berlin,,,,,,,,
LEGACY,,,,VEHEMENT CAPITAL 135,,,Berlin,,,DE,,3489,,
ERP,Globex Industries 136 SA,,,,Amsterdam,,,Netherlands,,,718,,14000000,GBP
CRM,,Globex Industries 136 SA,,,,Amsterdam,,,NL,,717,,,
API,,,Globex Industries 136,,,Amsterdam,,,NL,,,,,
ERP,Umbrella Logistics 137 GmbH,,,,Paris,,,France,,,4908,,25000000,GBP
CRM,,Umbrella Logistics 137 GmbH,,,,Paris,,,FR,,4905,,,
API,,,Umbrella Logistics 137,,,Paris,,,FR,,,,,
LEGACY,,,,UMBRELLA LOGISTICS 137,,,Paris,,,FR,,4908,,
ERP,Soylent Foods 138,,,,Paris,,,France,,,2421,,16800000,EUR
CRM,,Soylent Foods 138 Ltd,,,,Paris,,,FR,,2421,,,
LEGACY,,,,SOYLENT FOODS 138,,,Paris,,,FR,,2421,,
ERP,Cyberdyne Systems 139,,,,London,,,United Kingdom,,,3302,,44200000,USD
CRM,,Cyberdyne Systems 139 Inc,,,,London,,,UK,,3303,,,
ERP,Aviato Holdings 140,,,,Paris,,,France,,,993,,20800000,USD
CRM,,Aviato Holdings 140 SA,,,,Paris,,,FR,,996,,,
ERP,Aviato Holdings 141 GmbH,,,,London,,,United Kingdom,,,2043,,22400000,USD
CRM,,Aviato Holdings 141 Inc,,,,London,,,UK,,2045,,,
API,,,Aviato Holdings 141,,,London,,,UK,,,,,
LEGACY,,,,AVIATO HOLDINGS 141,,,London,,,UK,,2043,,
ERP,Umbrella Logistics 142 Inc,,,,Milan,,,Italy,,,4227,,10000000,USD
ERP,Soylent Foods 143 Inc,,,,Madrid,,,Spain,,,892,,7500000,EUR
CRM,,Soylent Foods 143,,,,Madrid,,,ES,,890,,,
ERP,Gringotts Bank 144 GmbH,,,,Milan,,,Italy,,,4797,,23000000,GBP
ERP,Wonka Industries 145 SA,,,,Amsterdam,,,Netherlands,,,2639,,7800000,EUR
CRM,,Wonka Industries 145 Inc,,,,Amsterdam,,,NL,,2640,,,
API,,,Wonka Industries 145,,,Amsterdam,,,NL,,,,,
ERP,Gringotts Bank 146 Inc,,,,London,,,United Kingdom,,,516,,18900000,EUR
ERP,Initech Solutions 147 SA,,,,Milan,,,Italy,,,4916,,26000000,USD
CRM,,Initech Solutions 147,,,,Milan,,,IT,,4916,,,
ERP,Vehement Capital 148 Ltd,,,,Paris,,,France,,,3946,,25700000,EUR
CRM,,Vehement Capital 148 Inc,,,,Paris,,,FR,,3948,,,
API,,,Vehement Capital 148,,,Paris,,,FR,,,,,
LEGACY,,,,VEHEMENT CAPITAL 148,,,Paris,,,FR,,3946,,
ERP,Gringotts Bank 149 GmbH,,,,Berlin,,,Germany,,,4343,,26800000,EUR
CRM,,Gringotts Bank 149 SA,,,,Berlin,,,DE,,4343,,,
ERP,Globex Industries 150 Inc,,,,Amsterdam,,,Netherlands,,,2791,,3400000,EUR
CRM,,Globex Industries 150 Inc,,,,Amsterdam,,,NL,,2793,,,
ERP,Soylent Foods 151 Ltd,,,,Paris,,,France,,,717,,29900000,USD
CRM,,Soylent Foods 151 SA,,,,Paris,,,FR,,715,,,
ERP,Wayne Enterprises 152 Inc,,,,Milan,,,Italy,,,3135,,33000000,EUR
ERP,Initech Solutions 153 Inc,,,,Amsterdam,,,Netherlands,,,3518,,26100000,EUR
CRM,,Initech Solutions 153 Ltd,,,,Amsterdam,,,NL,,3517,,,
ERP,Massive Dynamic 154 Inc,,,,Madrid,,,Spain,,,1319,,4000000,EUR
CRM,,Massive Dynamic 154 GmbH,,,,Madrid,,,ES,,1316,,,
ERP,Soylent Foods 155 Ltd,,,,Milan,,,Italy,,,3136,,7900000,EUR
ERP,Hooli Technologies 156 SA,,,,Amsterdam,,,Netherlands,,,3635,,2300000,USD
ERP,Massive Dynamic 157 SA,,,,Berlin,,,Germany,,,2384,,38600000,EUR
CRM,,Massive Dynamic 157 SA,,,,Berlin,,,DE,,2387,,,
API,,,Massive Dynamic 157,,,Berlin,,,DE,,,,,
ERP,Gringotts Bank 158 SA,,,,Berlin,,,Germany,,,2358,,39900000,GBP
CRM,,Gringotts Bank 158 Ltd,,,,Berlin,,,DE,,2361,,,
ERP,Globex Industries 159 Inc,,,,Amsterdam,,,Netherlands,,,3986,,44800000,GBP
ERP,Umbrella Logistics 160 Ltd,,,,Paris,,,France,,,737,,39100000,USD
CRM,,Umbrella Logistics 160 SA,,,,Paris,,,FR,,734,,,
LEGACY,,,,UMBRELLA LOGISTICS 160,,,Paris,,,FR,,737,,
ERP,Gringotts Bank 161,,,,Paris,,,France,,,268,,21300000,USD
CRM,,Gringotts Bank 161,,,,Paris,,,FR,,267,,,
API,,,Gringotts Bank 161,,,Paris,,,FR,,,,,
LEGACY,,,,GRINGOTTS BANK 161,,,Paris,,,FR,,268,,
ERP,Wonka Industries 162 Inc,,,,Madrid,,,Spain,,,1177,,2000000,USD
ERP,Soylent Foods 163 GmbH,,,,Amsterdam,,,Netherlands,,,3892,,23000000,EUR
ERP,Acme Corporation 164 Ltd,,,,Paris,,,France,,,1816,,42800000,GBP
ERP,Aviato Holdings 165 Inc,,,,London,,,United Kingdom,,,2410,,12200000,EUR
CRM,,Aviato Holdings 165 GmbH,,,,London,,,UK,,2410,,,
API,,,Aviato Holdings 165,,,London,,,UK,,,,,
ERP,Acme Corporation 166 Ltd,,,,Amsterdam,,,Netherlands,,,4271,,29500000,GBP
CRM,,Acme Corporation 166 GmbH,,,,Amsterdam,,,NL,,4270,,,
API,,,Acme Corporation 166,,,Amsterdam,,,NL,,,,,
ERP,Initech Solutions 167 GmbH,,,,Milan,,,Italy,,,3004,,3500000,GBP
