client_name,location,nation,headcount
Tyrell Group 77 Ltd,London,UK,583
Initech Solutions 78 GmbH,Madrid,ES,1020
Umbrella Logistics 80 Ltd,Madrid,ES,1775
Tyrell Group 81,Paris,FR,319
Vehement Capital 82 Ltd,Berlin,DE,987
Wayne Enterprises 83 GmbH,Berlin,DE,1068
Aviato Holdings 84 GmbH,Amsterdam,NL,2691
Stark Manufacturing 85 Inc,Milan,IT,377
Tyrlel Group 86 Inc,London,UK,3900
Pied Piepr 87 GmbH,Milan,IT,353
Tyrel lGroup 89 SA,Amsterdam,NL,3673
Massive Dynami c90,Amsterdam,NL,1347
Tyrell Group 92 Ltd,Madrid,ES,3794
Tyrell Group 94 SA,Madrid,ES,3708
Massive Dynamic 95 SA,Milan,IT,3187
Soylent oFods 96,Berlin,DE,354
Soylent Foods 97,Berlin,DE,1317
Umbrella Logistics 100 Inc,Berlin,DE,1411
Hooli Technologies 104 Inc,London,UK,3668
Pied Piper 105 Inc,Berlin,DE,920
Wayne Enterprises 107 Ltd,Madrid,ES,2938
Cyberdyne Systems 110 SA,Milan,IT,4163
Pied Ppier 112 Inc,Milan,IT,3047
Massive Dynamic 114 Ltd,Amsterdam,NL,564
Tyrell Group 115 GmbH,London,UK,846
Aviato Holdings 116,Amsterdam,NL,863
Cyberdyne Systems 117,London,UK,3062
Massive Dynamic 119 Ltd,Madrid,ES,4674
Massive Dynamic 122 GmbH,Milan,IT,2699
Cyberdyne Systems 123 GmbH,Milan,IT,4912
Gringotts Bank 125 GmbH,London,UK,712
Umbrella Logistics 127 Inc,Amsterdam,NL,4569
Tyrell Group 129 Inc,London,UK,800
Aviato oHldings 131 Ltd,Amsterdam,NL,473
Cyberdyne Systems 132 GmbH,Milan,IT,3064
Wayne Enterprises 134 Ltd,Paris,FR,2927
Vehement Capital 135 GmbH,Berlin,DE,3490
Globex Industries 136 SA,Amsterdam,NL,717
Umbrella Logistics 137 GmbH,Paris,FR,4905
Soylent Foods 138 Ltd,Paris,FR,2421
Cyberdyne Systems 139 Inc,London,UK,3303
Aviato Holdings 140 SA,Paris,FR,996
Aviato Holdings 141 Inc,London,UK,2045
Soylent Foods 143,Madrid,ES,890
Wonka Industries 145 Inc,Amsterdam,NL,2640
Initech Solutions 147,Milan,IT,4916
Vehement Capital 148 Inc,Paris,FR,3948
Gringotts Bank 149 SA,Berlin,DE,4343
Globex Industries 150 Inc,Amsterdam,NL,2793
Soylent Foods 151 SA,Paris,FR,715
Initech Solutions 153 Ltd,Amsterdam,NL,3517
Massive Dynamic 154 GmbH,Madrid,ES,1316
Massive Dynamic 157 SA,Berlin,DE,2387
Gringotts Bank 158 Ltd,Berlin,DE,2361
Umbrella Logistics 160 SA,Paris,FR,734
Gringotts Bank 161,Paris,FR,267
Aviato Holdings 165 GmbH,London,UK,2410
Acme Corporation 166 GmbH,Amsterdam,NL,4270
Initech Solutions 167 GmbH,Milan,IT,3001
Cyberdyne Systems 168,Paris,FR,186
Soylent Foods 169 SA,London,UK,2938
Soylent Foods 170,London,UK,3798
Tyrell Group 171 Inc,Paris,FR,348
Cyberdyne Systems 173 Ltd,Milan,IT,2235
Stark Manufacturing 176 Ltd,Amsterdam,NL,516
Globex Industries 177 GmbH,Madrid,ES,598
Cyberdyne Systems 178 Inc,Berlin,DE,677
Hooli Technologies 179 SA,Berlin,DE,4289
Tyrell Group 180,Madrid,ES,1057
Wonka Industries 181 Ltd,Amsterdam,NL,2898
Massive Dynamic 183 GmbH,Berlin,DE,263
Initech Solutions 185 Ltd,Madrid,ES,2650
Hooli Technologies 186 Ltd,Madrid,ES,3593
Wayne Enterprises 187 GmbH,London,UK,2099
Wayne Enterprises 191 Ltd,Berlin,DE,2056
Cyberdyne Systems 193 SA,Berlin,DE,1118
Wonka Industries 195,Madrid,ES,1352
Massive Dynamic 196 SA,Madrid,ES,4827
Aviato Holdings 197 GmbH,Madrid,ES,2217
